Pesticide,number_targeted_pests,number_normalized,price_oz,perc_act,oz_5acres,price_5acres,price_norm,evmt_score_animals,evmt_score_pollution,effectiveness_score,human_health
Abamectin,14,0.215384615,2.65,1.9,6,15.9,0.0125,2,2,1.5,2
Acephate,7,0.107692308,1.49,97,14,20.86,0.016399371,2,0.5,1.5,1.5
Acetamiprid,17,0.261538462,6.1,8.5,13,79.3,0.062342767,1.5,0.5,1.5,0.5
Bacillus thuringiensis,12,0.184615385,0.97,98.4,67,64.99,0.051092767,0.5,0.5,0.5,0
Bifenazate,8,0.123076923,13,22.6,6,78,0.061320755,2,2,2,2
Bifenthrin,4,0.061538462,0.53,7.9,144,76.32,0.06,2,2,2,1.5
Buprofezin,5,0.076923077,9.1,70,45,409.5,0.321933962,1,1,0.5,1
Carbaryl,25,0.384615385,0.95,23.7,67,63.65,0.050039308,2,1,1,2
Carbofuran,3,0.046153846,-1,-1,-1,242.6929,0.190796305,2,1,1,2
Chlorantraniliprole,9,0.138461538,5.61,18.4,34,190.74,0.14995283,1.5,1.5,1,0.5
Chlorfenapyr,5,0.076923077,4.24,21.45,300,1272,1,2,1,2,2
Chlorpyrifos,54,0.830769231,0.168,2.5,3484,585.312,0.460150943,2,1,1,1.5
Clothianidin,9,0.138461538,0.282,0.25,2560,721.92,0.56754717,2,1.5,2,2
Cyfluthrin,3,0.046153846,3.11,6,12,37.32,0.029339623,2,0.5,2,2
Cypermethrin,7,0.107692308,2.16,25.3,100,216,0.169811321,2,1.5,2,1.5
Diazinon,6,0.092307692,-1,-1,-1,242.6929,0.190796305,2,1,0.5,2
Dimethoate,4,0.061538462,-1,-1,-1,242.6929,0.190796305,2,2,2,2
Dinotefuran,13,0.2,10.37,20,6,62.22,0.048915094,2,1.5,1.5,0.5
Emamectin benzoate,11,0.169230769,-1,-1,-1,242.6929,0.190796305,1.5,0.5,0.5,2
Fipronil,8,0.123076923,5.39,0.65,50,269.5,0.211871069,2,1.5,1.5,1.5
Imidacloprid,65,1,0.83,21.8,131,108.73,0.08547956,2,1.5,1.5,1.5
Indoxacarb,4,0.061538462,1.49,0.04,24,35.76,0.028113208,2,1,1,2
Lambda-cyhalothrin,14,0.215384615,2.52,9.7,60,151.2,0.118867925,2,1.5,2,1.5
Malathion,14,0.215384615,1.12,55,25,28,0.022012579,2,1,1.5,1.5
Methomyl,11,0.169230769,-1,-1,-1,242.6929,0.190796305,2,2,2,2
Methoxyfenozide,3,0.046153846,3.41,28.3,40,136.4,0.107232704,1,2,2,1
Permethrin,4,0.061538462,1.34,36.8,320,428.8,0.337106918,2,2,1.5,1.5
Spinosad,17,0.261538462,1.25,0.5,400,500,0.393081761,1,1.5,1,0.5
Spiromesifen,6,0.092307692,40,45.2,3,120,0.094339623,1,2,2,1
Thiacloprid,5,0.076923077,-1,-1,-1,242.6929,0.190796305,2,1,2,2
Thiamethoxam,28,0.430769231,3.59,11.6,110,394.9,0.310455975,2,1.5,1.5,0.5
