Pest\Pesticide,Abamectin,Acephate,Acetamiprid,Azadirachtin,Bacillus thuringiensis,Bifenazate,Bifenthrin,Buprofezin,Carbaryl,Carbofuran,Cartap,Cartap hydrochloride,Chlorantraniliprole,Chlorfenapyr,Chlorpyrifos,Clothianidin,Cyfluthrin,Cypermethrin,Deltamethrin,Diazinon,Dimethoate,Dinotefuran,Emamectin benzoate,Fenazaquin,Fenitrothion,Fenpropathrin,Fenpyroximate,Fenthion,Fipronil,Flubendiamide,Hexythiazox,Imidacloprid,Indoxacarb,Lambda-cyhalothrin,Malathion,Methomyl,Methoxyfenozide,Permethrin,Phorate,Pyrethrin,Pyridaben,Spinosad,Spiromesifen,Spirodiclofen,Spirotetramat,Thiacloprid,Thiamethoxam
Adristyrannus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
Aleurocanthus spiniferus,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
alfalfa plant bug,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
alfalfa seed chalcid,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
alfalfa weevil,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampelophaga,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
aphids,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Aphis citricola Vander Goot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1
Apolygus lucorum,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
army worm,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
asiatic rice borer,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
Bactrocera tsuneonis,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,
beet army worm,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
beet fly,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
Beet spot flies,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
beet weevil,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
